sentence,label
"LEONTES:Thou want'st a rough pash and the shoots that I have,To be full like me: yet they say we areAlmost as like as eggs; women say so,That will say anything but were they falseAs o'er-dyed blacks, as wind, as waters, falseAs dice are to be wish'd by one that fixesNo bourn 'twixt his and mine, yet were it trueTo say this boy were like me",1
Maria Sharapova will play Li Na in final of WTA event in Stuttgart,0
SICINIUS:Pass no further,1
Brussels and the coolant's producers deny the suggestion,0
"BRAKENBURY:I am, in this, commanded to deliverThe noble Duke of Clarence to your hands:I will not reason what is meant hereby,Because I will be guiltless of the meaning",1
"Southers known for increasing focus on intelligence, colleague says",0
"'First Musician:Why 'Heart's ease?'PETER:O, musicians, because my heart itself plays 'Myheart is full of woe:' O, play me some merry dump,to comfort me",1
Charges dismissed for woman ticketed for wearing Google Glass while driving,0
"VINCENTIO:Is't so, indeed",1
It allegedly happened outside Manhattan's Gansevoort Hotel on Sunday,0
Visitors can wave down a passing plane from the beach on neighboring Salt Cay,0
"Why should I carry lies abroad?MOPSA:Pray you now, buy it",1
"Lord:Huntsman, I charge thee, tender well my hounds:Brach Merriman, the poor cur is emboss'd;And couple Clowder with the deep--mouth'd brach",1
DUCHESS OF YORK:I long with all my heart to see the prince:I hope he is much grown since last I saw him,1
"What's yourname, Master tapster?POMPEY:Pompey",1
"DUKE VINCENTIO:I thank thee, Varrius; thou hast made good haste:Come, we will walk",1
"KING RICHARD II:O God, O God! that e'er this tongue of mine,That laid the sentence of dread banishmentOn yon proud man, should take it off againWith words of sooth! O that I were as greatAs is my grief, or lesser than my name!Or that I could forget what I have been,Or not remember what I must be now!Swell'st thou, proud heart? I'll give thee scope to beat,Since foes have scope to beat both thee and me",1
"Prisoners endured forced labor, beatings and terrible living conditions",0
Brands that not only make a profit but make a difference are becoming more popular,0
"This you may knowAnd so deliver, I am put to seaWith her whom here I cannot hold on shore;And most opportune to our need I haveA vessel rides fast by, but not preparedFor this design",1
PAULINA:I'll draw the curtain:My lord's almost so far transported thatHe'll think anon it lives,1
"What says he of our marriage? what of that?Nurse:Lord, how my head aches! what a head have I!It beats as it would fall in twenty pieces",1
"CAPULET:Why, I am glad on't; this is well: stand up:This is as't should be",1
"Feminist groups are protesting the delay, saying women have few legal protections in Lebanon",0
"Marry, as for Clarence, he is well repaid,He is frank'd up to fatting for his painsGod pardon them that are the cause of it!RIVERS:A virtuous and a Christian-like conclusion,To pray for them that have done scathe to us",1
MONTAGUE:But I have reasons strong and forcible,1
Cumbria crime commissioner took Mercedes on two trips with his wife,0
"If you can behold it,I'll make the statue move indeed, descendAnd take you by the hand; but then you'll think--Which I protest against--I am assistedBy wicked powers",1
But sadly tell me who,1
"Thus it stands:Her eldest sister is so curst and shrewdThat till the father rid his hands of her,Master, your love must live a maid at home;And therefore has he closely mew'd her up,Because she will not be annoy'd with suitors",1
Men present raised their hands to be addressed by guest speaker,0
"Hail, noble Marcius!MARCIUS:Thanks",1
ISABELLA:I'll see what I can do,1
"Toh has written a guide for those who want to carry on with their photography as parents advising, 'Kids must win!'",0
"KING RICHARD III:And brief, good mother; for I am in haste",1
"Think not the king did banish thee,But thou the king",1
Famously follows a strict vegan diet,0
YORK:I am thine,1
Brazilian paid tribute to manager Jose Mourino for helping him regain his place in the national squad,0
"Michelle Peters, 63, has been left brain damaged after undergoing an operation to remove a small tumour on her adrenal gland",0
"ISABELLA:My power? Alas, I doubt--LUCIO:Our doubts are traitorsAnd make us lose the good we oft might winBy fearing to attempt",1
Spanish striker was involved in controversial incidents in both halves with John O'Shea and Wes Brown,0
"Therefore take with thee my most heavy curse;Which, in the day of battle, tire thee moreThan all the complete armour that thou wear'st!My prayers on the adverse party fight;And there the little souls of Edward's childrenWhisper the spirits of thine enemiesAnd promise them success and victory",1
"Provost:Who can do good on him?Well, go, prepare yourself",1
"Volsce:You will be welcome with this intelligence, Nicanor",1
By the discovery,1
Austria's market almost collapsed completely after the 1985 scandal,0
"KING EDWARD IV:See that he be convey'd unto the Tower:And go we, brothers, to the man that took him,To question of his apprehension",1
Belinda Bartholomew claims she was racially abused at a Bondi butcher,0
16million in 1991,0
Grand Prix of 2005 was one of the bizarre races in Formula One history,0
"HERMIONE:Grace to boot!Of this make no conclusion, lest you sayYour queen and I are devils: yet go on;The offences we have made you do we'll answer,If you first sinn'd with us and that with usYou did continue fault and that you slipp'd notWith any but with us",1
"HERMIONE:Was not my lordThe verier wag o' the two?POLIXENES:We were as twinn'd lambs that did frisk i' the sun,And bleat the one at the other: what we changedWas innocence for innocence; we knew notThe doctrine of ill-doing, nor dream'dThat any did",1
Johanna Konta battled hard but lost in three sets to China's Shuai Peng,0
People had sex against antique furniture in mansion which is up for sale,0
Widow:He that is giddy thinks the world turns round,1
"HORTENSIO:Now shall my friend Petruchio do me grace,And offer me disguised in sober robesTo old Baptista as a schoolmasterWell seen in music, to instruct Bianca;That so I may, by this device, at leastHave leave and leisure to make love to herAnd unsuspected court her by herself",1
"Sulaiman Abu Ghaith aided al Qaeda as its main spokesman, prosecutor says",0
The coalition government appears divided over the proposal,0
Inspector: 'I've never seen such a deeply depressing sight as these dogs'Owner Pauline Kinghorn has been banned from keeping animals for life,0
"CLIFFORD:Why, that is spoken like a toward prince",1
"The language I have learn'd these forty years,My native English, now I must forego:And now my tongue's use is to me no moreThan an unstringed viol or a harp,Or like a cunning instrument cased up,Or, being open, put into his handsThat knows no touch to tune the harmony:Within my mouth you have engaol'd my tongue,Doubly portcullis'd with my teeth and lips;And dull unfeeling barren ignoranceIs made my gaoler to attend on me",1
The Coptic Christian minority has been targeted in attacks in recent years,0
CORIOLANUS:You should account me the more virtuous that I havenot been common in my love,1
The Human Rights Campaign urged Facebook users to change their profile pictures to red equal signs to show their support of marriage equality,0
"Meyer, 25, has worked as an EMT for the past two years",0
He says without sponsorship from Acquire Learning his dream would not have been achieved,0
"I'm a Celebrity star Jimmy Bullard thought to have lost £600,000",0
"through CIA to provide small arms, ammunition, sources say",0
"Second Murderer:Take the devil in thy mind, and relieve him not: hewould insinuate with thee but to make thee sigh",1
GRUMIO:I fear it is too choleric a meat,1
ROMEO:And bad'st me bury love,1
"Nurse:God ye good morrow, gentlemen",1
"In '50s and '60s, landmark bills were passed through secret deals, David Frum says",0
"EXETER:Accursed be he that seeks to make them foes!YORK:Farewell, my gracious lord; I'll to my castle",1
"Nightlife is virtually non-existent, so spent energy exploring during the day",0
"Actor's wife, Emma Heming-Willis, cast doubt on the report Monday on Twitter",0
MISTRESS OVERDONE:But what's his offence?POMPEY:Groping for trouts in a peculiar river,1
"PERDITA:Your pardon, sir; for thisI'll blush you thanks",1
"AUTOLYCUS:If that shepherd be not in hand-fast, let him fly:the curses he shall have, the tortures he shallfeel, will break the back of man, the heart of monster",1
"Come, let's go:Leave this faint puling and lament as I do,In anger, Juno-like",1
"NORFOLK:Arm, arm, my lord; the foe vaunts in the field",1
"CLARENCE:O, no, he loves me, and he holds me dear:Go you to him from me",1
Nam believes speaking English is very important in the company,0
'Aggravated homosexuality' carries life-long jail term,0
Also stole 'Passion Rings' made for Selena Gomez worth $510 each,0
"You say, seven years together?ELBOW:And a half, sir",1
"Sharon, a decorated war vet before being elected, has been in a coma since 2006",0
"QUEEN MARGARET:Urge neither charity nor shame to me:Uncharitably with me have you dealt,And shamefully by you my hopes are butcher'd",1
"AUTOLYCUS:Shepherd:To the palace, an it like your worship",1
"ISABELLA:And have you nuns no farther privileges?FRANCISCA:Are not these large enough?ISABELLA:Yes, truly; I speak not as desiring more;But rather wishing a more strict restraintUpon the sisterhood, the votarists of Saint Clare",1
CORIOLANUS:I do owe them stillMy life and services,1
"POLIXENES:This is the prettiest low-born lass that everRan on the green-sward: nothing she does or seemsBut smacks of something greater than herself,Too noble for this place",1
Coach's wife fire gun and the group fled from the park,0
"Company offers a series of designs that allow travelers to ""wear"" their luggage",0
"COMINIUS:Let me speak:I have been consul, and can show for RomeHer enemies' marks upon me",1
The home was nicknamed the 'Winter White House' when JFK and Jackie brought their children for vacations,0
"KING RICHARD II:Should dying men flatter with those that live?JOHN OF GAUNT:No, no, men living flatter those that die",1
Pair were jailed after admitting taking part in the sham marriage,0
Heart of Lies based on Liysa Northon - jailed for manslaughter in 2001,0
"SICINIUS:Draw near, ye people",1
"Gardener:Go, bind thou up yon dangling apricocks,Which, like unruly children, make their sireStoop with oppression of their prodigal weight:Give some supportance to the bending twigs",1
Underground banks using human mules to transport cash across the border,0
Defender Rio Ferdinand once again watched from the home bench,0
Their home had to be fumigated for three days while they stayed in hotel,0
"Would you imagine, or almost believe,Were't not that, by great preservation,We live to tell it you, the subtle traitorThis day had plotted, in the council-houseTo murder me and my good Lord of Gloucester?Lord Mayor:What, had he so?GLOUCESTER:What, think You we are Turks or infidels?Or that we would, against the form of law,Proceed thus rashly to the villain's death,But that the extreme peril of the case,The peace of England and our persons' safety,Enforced us to this execution?Lord Mayor:Now, fair befall you! he deserved his death;And you my good lords, both have well proceeded,To warn false traitors from the like attempts",1
"3 KING HENRY VIGLOUCESTER:Now tell me, brother Clarence, what think youOf this new marriage with the Lady Grey?Hath not our brother made a worthy choice?CLARENCE:Alas, you know, 'tis far from hence to France;How could he stay till Warwick made return?SOMERSET:My lords, forbear this talk; here comes the king",1
Harris has been charged in the deaths of 73-year-old Olivia and 76-year-old Lamar Gilbert,0
"DUKE VINCENTIO:What pleasure was he given to?ESCALUS:Rather rejoicing to see another merry, than merry atany thing which professed to make him rejoice: agentleman of all temperance",1
Come and lead meUnto these sorrows,1
"KING RICHARD II:We will ourself in person to this war:And, for our coffers, with too great a courtAnd liberal largess, are grown somewhat light,We are inforced to farm our royal realm;The revenue whereof shall furnish usFor our affairs in hand: if that come short,Our substitutes at home shall have blank charters;Whereto, when they shall know what men are rich,They shall subscribe them for large sums of goldAnd send them after to supply our wants;For we will make for Ireland presently",1
"A320s have a  ""ditching button"" to close valves, allowing jet to float longer",0
"And this shall free thee from this present shame;If no inconstant toy, nor womanish fear,Abate thy valour in the acting it",1
"If we and Caius Marcius chance to meet,'Tis sworn between us we shall ever strikeTill one can do no more",1
"LUCIO:I'll be hanged first: thou art deceived in me,friar",1
"The comedian's camp has repeatedly, vigorously denied similar stories",0
"BENVOLIO:I pray thee, good Mercutio, let's retire:The day is hot, the Capulets abroad,And, if we meet, we shall not scape a brawl;For now, these hot days, is the mad blood stirring",1
Two Russian anti-submarine warships appeared off the Crimea coast,0
"CAMILLO:He tells her somethingThat makes her blood look out: good sooth, she isThe queen of curds and cream",1
"Now for the rebels which stand out in Ireland,Expedient manage must be made, my liege,Ere further leisure yield them further meansFor their advantage and your highness' loss",1
"What, have I choked you with an argosy?TRANIO:Gremio, 'tis known my father hath no lessThan three great argosies; besides two galliases,And twelve tight galleys: these I will assure her,And twice as much, whate'er thou offer'st next",1
"Is it e'en so? why, then, I thank you allI thank you, honest gentlemen; good night",1
"The shadow of my sorrow! ha! let's see:'Tis very true, my grief lies all within;And these external manners of lamentsAre merely shadows to the unseen griefThat swells with silence in the tortured soul;There lies the substance: and I thank thee, king,For thy great bounty, that not only givestMe cause to wail but teachest me the wayHow to lament the cause",1
Here is Cominius,1
Court heard it was 'worrying' that voices were 'instrumental' in crash,0
Oyster reefs are immediately in danger and population recovery may be stunted by lingering oil,0
"BAPTISTA:Now, by my holidame, here comes Katharina!KATHARINA:What is your will, sir, that you send for me?PETRUCHIO:Where is your sister, and Hortensio's wife?KATHARINA:They sit conferring by the parlor fire",1
GLOUCESTER:Wert thou not banished on pain of death?QUEEN MARGARET:I was; but I do find more pain in banishmentThan death can yield me here by my abode,1
Dick Pound is a a former chairman of the World Anti-Doping Agency,0
"Come you hither to me, Master tapster",1
"Boatswain:Down with the topmast! yare! lower, lower! Bringher to try with main-course",1
"PETRUCHIO:You lie, in faith; for you are call'd plain Kate,And bonny Kate and sometimes Kate the curst;But Kate, the prettiest Kate in ChristendomKate of Kate Hall, my super-dainty Kate,For dainties are all Kates, and therefore, Kate,Take this of me, Kate of my consolation;Hearing thy mildness praised in every town,Thy virtues spoke of, and thy beauty sounded,Yet not so deeply as to thee belongs,Myself am moved to woo thee for my wife",1
"His pupil ageMan-enter'd thus, he waxed like a sea,And in the brunt of seventeen battles sinceHe lurch'd all swords of the garland",1
Switzerland coach heard about his brother's death before last 16 game,0
"Then have we here young Dizy, and youngMaster Deep-vow, and Master Copperspur, and MasterStarve-lackey the rapier and dagger man, and youngDrop-heir that killed lusty Pudding, and MasterForthlight the tilter, and brave Master Shooty thegreat traveller, and wild Half-can that stabbedPots, and, I think, forty more; all great doers inour trade, and are now 'for the Lord's sake",1
"CORIOLANUS:That's my brave boy!VOLUMNIA:Even he, your wife, this lady, and myself,Are suitors to you",1
"Shane Coffey, 20, from Boston, U",0
Former Gov,0
Gay marriages can't occur on military bases in states that have outlawed the practice,0
There are many options for people who seek food festivals with an unusual twist,0
LADY  CAPULET:We shall be short in our provision:'Tis now near night,1
Mark a little while,1
"JULIET:'Tis almost morning; I would have thee gone:And yet no further than a wanton's bird;Who lets it hop a little from her hand,Like a poor prisoner in his twisted gyves,And with a silk thread plucks it back again,So loving-jealous of his liberty",1
"And, for an entrance to my entertainment,I do present you with a man of mine,Cunning in music and the mathematics,To instruct her fully in those sciences,Whereof I know she is not ignorant:Accept of him, or else you do me wrong:His name is Licio, born in Mantua",1
"ANGELO:Now, good my lord,Let there be some more test made of my metal,Before so noble and so great a figureBe stamp'd upon it",1
MENENIUS:A noble wish,1
"The number of people declaring incomes of more than £1m slumped from 16,000 to 6,000 after Gordon Brown introduced the new tax rules in 2010",0
"Only, good master, while we do admireThis virtue and this moral discipline,Let's be no stoics nor no stocks, I pray;Or so devote to Aristotle's chequesAs Ovid be an outcast quite abjured:Balk logic with acquaintance that you haveAnd practise rhetoric in your common talk;Music and poesy use to quicken you;The mathematics and the metaphysics,Fall to them as you find your stomach serves you;No profit grows where is no pleasure ta'en:In brief, sir, study what you most affect",1
Police don't yet know of a motive for the apparent murder-suicide,0
"HERMIONE:You gods, look downAnd from your sacred vials pour your gracesUpon my daughter's head! Tell me, mine own",1
She advises that it can be a lonely journey so ensure there are people around you to 'mourn the disappointments' and celebrate success,0
"LORD FITZWATER:If that thy valour stand on sympathy,There is my gage, Aumerle, in gage to thine:By that fair sun which shows me where thou stand'st,I heard thee say, and vauntingly thou spakest itThat thou wert cause of noble Gloucester's death",1
"I play the torturer, by small and smallTo lengthen out the worst that must be spoken:Your uncle York is join'd with Bolingbroke,And all your northern castles yielded up,And all your southern gentlemen in armsUpon his party",1
"""12 Years a Slave"" has the most nominations",0
"Ms Holland told police she expected her son to die, adding that she could not afford to care for him",0
70cl bottle of vodka for £9 will go up to £11,0
"Every year, starlings gather in vast numbers in the Scottish town of Gretna, near to the border with England",0
"Hear me, O hear me, here!ANGELO:My lord, her wits, I fear me, are not firm:She hath been a suitor to me for her brotherCut off by course of justice,--ISABELLA:By course of justice!ANGELO:And she will speak most bitterly and strange",1
First mission for National Transitional Council will be to provide security,0
"Cousin of Hereford, as thy cause is right,So be thy fortune in this royal fight!Farewell, my blood; which if to-day thou shed,Lament we may, but not revenge thee dead",1
"TRANIO:Nay, then, 'tis time to stir him from his trance",1
"KING RICHARD II:Discomfortable cousin! know'st thou notThat when the searching eye of heaven is hid,Behind the globe, that lights the lower world,Then thieves and robbers range abroad unseenIn murders and in outrage, boldly here;But when from under this terrestrial ballHe fires the proud tops of the eastern pinesAnd darts his light through every guilty hole,Then murders, treasons and detested sins,The cloak of night being pluck'd from off their backs,Stand bare and naked, trembling at themselves?So when this thief, this traitor, Bolingbroke,Who all this while hath revell'd in the nightWhilst we were wandering with the antipodes,Shall see us rising in our throne, the east,His treasons will sit blushing in his face,Not able to endure the sight of day,But self-affrighted tremble at his sin",1
"Now back home, she wants to turn her unusual journey into book and film",0
"Second Gentleman:I thought she had some great matter there in hand;for she hath privately twice or thrice a day, eversince the death of Hermione, visited that removedhouse",1
But internet trolls plagued the model with negative comments,0
"They bid farewell to Japan's Emperor Akhito, 80, and Empress Michiko, 80",0
"November 6, 2015",0
Response mostly negative after Starbucks launches initiative to talk about race relations,0
RUTLAND:I never did thee harm: why wilt thou slay me?CLIFFORD:Thy father hath,1
MARCIUS:Those are theyThat most are willing,1
Ancelotti hails Bale as the best in the world ahead of Super Cup,0
She was confirmed with a Senate vote of 56-26,0
"RICHARD:Northumberland, I hold thee reverently",1
Woods becomes first player to earn $100 million on the PGA Tour,0
"FRIAR PETER:Blessed be your royal grace!I have stood by, my lord, and I have heardYour royal ear abused",1
Report claims Blake gave birth 'earlier than expected' but is doing well,0
"The Parliament's head of security, sergeant-at-arms Kevin Vickers, 58, took down Michael Zehaf-Bibeau in a dramatic hail of gunfire",0
Footage believed to have been shot in January 2008 after 50-mile chase,0
"KING RICHARD II:Well you deserve: they well deserve to have,That know the strong'st and surest way to get",1
"Our grandmothers' achievements are greater than recognized, she says",0
Four children and their grandparents died in fire at Annapolis mansion,0
Emory University Hospital said that the patient would be treated in its isolation unit but,0
"TRANIO:Then at my lodging, an it like you:There doth my father lie; and there, this night,We'll pass the business privately and well",1
"Non-profit works to promote the Medal and its values, including integrity",0
Argentina beat Brazil for the first time in five years in friendly international in Doha,0
Scientists are working with basic elements to understand how atoms came together,0
Ayrton Senna and Alain Prost's title fights for McLaren in 1988 and 1989 were famously fierce,0
"Agents allege two of them, bank employees, organized the heist",0
Song will urge 'brother' Balotelli not to score against West Ham,0
"Good man, the wounds that he does bear for Rome!MENENIUS:Come, come, peace",1
"Ah, gentle Clifford, kill me with thy sword,And not with such a cruel threatening look",1
"HASTINGS:More pity that the eagle should be mew'd,While kites and buzzards prey at liberty",1
"Ratcliff!RATCLIFF:My lord?KING RICHARD III:Saw'st thou the melancholy Lord Northumberland?RATCLIFF:Thomas the Earl of Surrey, and himself,Much about cock-shut time, from troop to troopWent through the army, cheering up the soldiers",1
Neuer claimed it was harder for goalkeepers to win the award,0
"JULIET:O, break, my heart! poor bankrupt, break at once!To prison, eyes, ne'er look on liberty!Vile earth, to earth resign; end motion here;And thou and Romeo press one heavy bier!Nurse:O Tybalt, Tybalt, the best friend I had!O courteous Tybalt! honest gentleman!That ever I should live to see thee dead!JULIET:What storm is this that blows so contrary?Is Romeo slaughter'd, and is Tybalt dead?My dear-loved cousin, and my dearer lord?Then, dreadful trumpet, sound the general doom!For who is living, if those two are gone?Nurse:Tybalt is gone, and Romeo banished;Romeo that kill'd him, he is banished",1
Edward Saylor has passed away at the age of 94,0
"HORTENSIO:Petruchio, patience; I am Grumio's pledge:Why, this's a heavy chance 'twixt him and you,Your ancient, trusty, pleasant servant Grumio",1
"verdict, convicting Kelly of rape",0
"EXTON:'Have I no friend?' quoth he: he spake it twice,And urged it twice together, did he not?Servant:He did",1
Gill has handed over drinks licences for Coach and Horses and Chaplains,0
"ALONSO:Prithee, peace",1
Politicians believe promoting the controlled sale of the narcotic will bring tens of thousands of extra tourists,0
Came as Melanie Onn named as town's Prospective Parliamentary Candidate,0
"The chief executive, André Esteves, of BTG Pactual has been fined for insider trading",0
"airline association: It's ""time for appropriate precautions but not panic""U",0
Arrived at Downing Street showcasing style credentials,0
Chelsea Supporters' Trust speak out to 'welcome' the new study,0
"HENRY BOLINGBROKE:Withdraw yourselves, and leave us here alone",1
At least 10 sets of human remains have been found on Long Island since December,0
QUEEN ELIZABETH:Plain and not honest is too harsh a style,1
"But she was disciplined and sacked, despite CPS finding fraud untenable",0
Customers will have to use Plusnet if they want to keep dial-up connection,0
"AUTOLYCUS:If I had a mind to be honest, I see Fortune wouldnot suffer me: she drops booties in my mouth",1
But there are no accounts of Mozart having sore throat in his last weeks of life,0
AA warned the Government was creating ‘a poll tax on wheels’,0
"Tell him his fears are shallow, wanting instance:And for his dreams, I wonder he is so fondTo trust the mockery of unquiet slumbersTo fly the boar before the boar pursues,Were to incense the boar to follow usAnd make pursuit where he did mean no chase",1
Emmnauel Adebayor came close to leaving Tottenham on deadline day,0
"Brigadier David Martin, 57, ended his life after allegedly feeling 'harassed'Brig Martin was a director and trustee of military charity UK4U Thanks",0
"'JULIET:And stint thou too, I pray thee, nurse, say I",1
"Away with him!MARIANA:O my most gracious lord,I hope you will not mock me with a husband",1
Qantas has started a tryout to monitor digital conversations on social-media sites like Twitter or on Facebook,0
"com's ""American Idol"" Power List",0
Edward for Edward pays a dying debt,1
"Ay, but she's come to beg, Warwick to give;She, on his left side, craving aid for Henry,He, on his right, asking a wife for Edward",1
"Cuts will be 'the most extreme in post-war history', he warned in a speech",0
She opted for leather trousers and high heeled Christian Louboutins,0
"SICINIUS:Make them be strong and ready for this hint,When we shall hap to give 't them",1
The New One drew plaudits for victory in Cheltenham’s International Hurdle,0
"The reef is at risk from overfishing, unsustainable tourism and pollution",0
"ROMEO:Meaning, to court'sy",1
"Thou! why,thou wilt quarrel with a man that hath a hair more,or a hair less, in his beard, than thou hast: thouwilt quarrel with a man for cracking nuts, having noother reason but because thou hast hazel eyes: whateye but such an eye would spy out such a quarrel?Thy head is as fun of quarrels as an egg is full ofmeat, and yet thy head hath been beaten as addle asan egg for quarrelling: thou hast quarrelled with aman for coughing in the street, because he hathwakened thy dog that hath lain asleep in the sun:didst thou not fall out with a tailor for wearinghis new doublet before Easter? with another, fortying his new shoes with old riband? and yet thouwilt tutor me from quarrelling!BENVOLIO:An I were so apt to quarrel as thou art, any manshould buy the fee-simple of my life for an hour and a quarter",1
Sepp Blatter admits that FIFA's reputation has been tainted by recent scandals,0
"Give me the glass, and therein will I read",1
"The capacity will increase from 12,000 to 14,000 for next two seasons",0
"TRANIO:O, sir, Lucentio slipp'd me like his greyhound,Which runs himself and catches for his master",1
"First Murderer:Do so, it is a point of wisdom: fare you well",1
"THOMAS MOWBRAY:Myself I throw, dread sovereign, at thy foot",1
The victory puts Murray in ninth place in the Race to London,0
Horrified mother filming at the time and thought Yasmin was paralysed,0
"HENRY BOLINGBROKE:I know it, uncle, and oppose not myselfAgainst their will",1
"O, if you raise this house against this house,It will the woefullest division proveThat ever fell upon this cursed earth",1
"Happy star, reign now!Here comes Bohemia",1
"Unfortunately, the two-year-old thoroughbred was pipped to the post",0
"Farewell: our countrymen are gone and fled,As well assured Richard their king is dead",1
"D is for DRM, technologies companies use to try to restrict online piracy",0
"During opening statements, the prosecution showed pictures of the scene",0
"Messenger:Royal commanders, be in readiness:For with a band of thirty thousand menComes Warwick, backing of the Duke of York;And in the towns, as they do march along,Proclaims him king, and many fly to him:Darraign your battle, for they are at hand",1
"MENENIUS:Put them not to't:Pray you, go fit you to the custom andTake to you, as your predecessors have,Your honour with your form",1
"He says rebel militias, organized crime use funds from illicit wildlife trade; rangers outgunned",0
"Brawley: Overpromise of screening technology in cancer, other diseases harms patients",0
The hell-bound cloven-hoofed counterpart is said to beat children with chains before dragging them of to hell,0
"BAPTISTA:Nay, let them go, a couple of quiet ones",1
"The 38-year-old teacher critiques every hotel, restaurant and landmark he visits on holiday",0
ANTONIO:The latter end of his commonwealth forgets thebeginning,1
Germany are still favourites to top Group D despite their slow start,0
"Ariel Castro, 53, has been offered a plea deal according to court sources in Cleveland",0
"Well, bring our lady hither to our sight;And once again, a pot o' the smallest ale",1
"The 55-year-old from Deal, Kent was left the money after her mother passed",0
"Staggering amount, paid for delays, averages out at £27,000 each",0
Jones was arrested after police spotted him loitering in area minutes later,0
Only Robin van Persie has scored in more (nine) consecutive away games,0
"LORD STANLEY:Come, madam, come; I in all haste was sent",1
"How does your little son?VIRGILIA:I thank your ladyship; well, good madam",1
"Last weekend marked the first Sunday of Lent, explaining high donation volume though they have about 43,500 parishioners every week",0
